City,PLZ,Price (CHF/Month),Net Price,Additional Costs,Rooms,Living Space,Street,Listing URL,Etage,Objekttyp,Balkon / Terrasse,Lift,Minergie,Aussicht,Garage,Parkplatz,Kinderfreundlich,Swimmingpool,Haustiere erlaubt,complete_address,latitude,longitude,oev_erreichb_ewap,median_einkommen
Basel,4058,1620,1370,250,3.0,65,"Maulbeerstrasse 93,",https://www.immoscout24.ch/mieten/4001908161,1,Wohnung,False,True,False,False,False,False,False,False,False,"Maulbeerstrasse 93,4058 Basel",47.56825256347656,7.604640483856201,13319,66727.1
Basel,4054,1450,1300,150,3.0,70,"Sankt Galler-Ring,",https://www.immoscout24.ch/mieten/4002003847,2,Wohnung,True,False,False,False,False,False,False,False,False,"Sankt Galler-Ring,4054 Basel",47.55473327636719,7.567868232727051,4659,66727.1
Basel,4058,1540,1380,160,2.5,55,"Claragraben 84,",https://www.immoscout24.ch/mieten/4002002649,3,Wohnung,False,True,False,True,False,False,False,False,False,"Claragraben 84,4058 Basel",47.56280899047852,7.594296932220459,14402,66727.1
Basel,4058,980,900,80,1.5,25,"Claragraben 84,",https://www.immoscout24.ch/mieten/4002002631,3,Wohnung,False,True,False,True,False,False,False,False,False,"Claragraben 84,4058 Basel",47.56280899047852,7.594296932220459,14402,66727.1
Basel,4058,1150,1040,110,1.5,41,"Claragraben 82,",https://www.immoscout24.ch/mieten/4002002625,1,Wohnung,False,True,False,True,False,False,False,False,False,"Claragraben 82,4058 Basel",47.56256866455078,7.594477653503418,14402,66727.1
Basel,4058,1300,1150,150,2.0,46,"Maulbeerstrasse 93,",https://www.immoscout24.ch/mieten/4001846516,1,Wohnung,False,True,False,False,False,False,False,False,False,"Maulbeerstrasse 93,4058 Basel",47.56825256347656,7.604640483856201,13319,66727.1
Basel,4057,1400,1250,150,2.5,54,"Amerbachstrasse 45,",https://www.immoscout24.ch/mieten/4001824797,2,Wohnung,False,True,False,False,False,False,False,False,False,"Amerbachstrasse 45,4057 Basel",47.56937789916992,7.593364238739014,25629,66727.1
Basel,4051,1290,1200,90,1.5,31,"Bollwerk-Promenade 5,",https://www.immoscout24.ch/mieten/4001786643,1,Wohnung,False,True,True,True,True,True,False,False,False,"Bollwerk-Promenade 5,4051 Basel",47.55073928833008,7.588222980499268,51293,66727.1
Basel,4057,1780,1600,180,2.5,58,"Hammerstrasse 129,",https://www.immoscout24.ch/mieten/4001956377,4,Maisonette / Duplex,True,False,False,True,False,False,False,False,False,"Hammerstrasse 129,4057 Basel",47.5671501159668,7.595059394836426,21856,66727.1
Basel,4001,2460,2200,260,2.5,69,"Falknerstrasse 5,",https://www.immoscout24.ch/mieten/4001987306,2,Wohnung,False,True,False,False,False,False,False,False,False,"Falknerstrasse 5,4001 Basel",47.55644989013672,7.589027881622314,16025,66727.1
Basel,4052,2581,2281,300,4.0,112,"St. Alban-Anlage 59/61/63,",https://www.immoscout24.ch/mieten/4001957539,4,Wohnung,False,True,False,False,False,False,False,False,False,"St. Alban-Anlage 59/61/63,4052 Basel",47.55289077758789,7.601708889007568,10740,66727.1
Basel,4052,3190,2710,480,5.0,143,"Lindenweg 5,",https://www.immoscout24.ch/mieten/4001837847,2,Wohnung,True,True,False,False,True,False,False,False,False,"Lindenweg 5,4052 Basel",47.551700592041016,7.606226444244385,8476,66727.1
Basel,4051,1690,1550,140,2.5,48,"Wallstrasse 5,",https://www.immoscout24.ch/mieten/4001786397,4,Wohnung,False,True,True,True,True,True,False,False,False,"Wallstrasse 5,4051 Basel",47.55037307739258,7.590278625488281,51293,66727.1
